epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,325.79,0.70978,0.39642,0.95507,0.97447,0.99141,0.98698,0.79527,0.80396,0.34887,0.95237,0.0005941,0.0005941,0.0005941
43,333.726,0.70745,0.3973,0.95419,0.98197,0.98568,0.98327,0.79067,0.80581,0.34655,0.95553,0.0005842,0.0005842,0.0005842
44,342.427,0.69838,0.37911,0.94695,0.98406,0.99245,0.98565,0.79786,0.83125,0.34657,0.95878,0.0005743,0.0005743,0.0005743
45,350.879,0.71225,0.38339,0.95692,0.9767,0.98889,0.98441,0.79385,0.81034,0.34553,0.95422,0.0005644,0.0005644,0.0005644
46,358.856,0.72104,0.38646,0.96176,0.98151,0.98751,0.98514,0.7774,0.83237,0.34685,0.95946,0.0005545,0.0005545,0.0005545
47,366.722,0.69041,0.37248,0.93965,0.98648,0.9863,0.98583,0.80997,0.76633,0.34034,0.9503,0.0005446,0.0005446,0.0005446
48,374.671,0.69272,0.36942,0.94014,0.98725,0.98585,0.98656,0.80938,0.76576,0.33732,0.95115,0.0005347,0.0005347,0.0005347
49,382.297,0.6947,0.37556,0.94439,0.97715,0.98333,0.98605,0.7984,0.76643,0.33847,0.94524,0.0005248,0.0005248,0.0005248
50,390.028,0.70482,0.37523,0.94325,0.97316,0.98368,0.98686,0.81345,0.75041,0.32661,0.94155,0.0005149,0.0005149,0.0005149
51,397.678,0.6898,0.36942,0.94263,0.97232,0.98294,0.98446,0.79538,0.78172,0.34585,0.95092,0.000505,0.000505,0.000505
52,406.149,0.70217,0.37126,0.94711,0.96664,0.99301,0.98655,0.80152,0.77926,0.33605,0.94239,0.0004951,0.0004951,0.0004951
53,413.934,0.67882,0.36868,0.94181,0.97486,0.99067,0.98744,0.79128,0.82897,0.33351,0.96004,0.0004852,0.0004852,0.0004852
54,421.572,0.67192,0.35783,0.93657,0.98052,0.9902,0.9871,0.79531,0.81638,0.3414,0.9609,0.0004753,0.0004753,0.0004753
55,429.327,0.67481,0.36052,0.93569,0.98272,0.98465,0.98648,0.78816,0.84223,0.34463,0.9632,0.0004654,0.0004654,0.0004654
56,436.978,0.67084,0.36279,0.93808,0.98191,0.98175,0.98594,0.80753,0.76528,0.32923,0.9408,0.0004555,0.0004555,0.0004555
57,444.772,0.67215,0.35908,0.93176,0.9846,0.99126,0.98658,0.80745,0.76473,0.32715,0.94838,0.0004456,0.0004456,0.0004456
58,455.672,0.66186,0.3549,0.93073,0.97713,0.97974,0.97752,0.79257,0.83473,0.35304,0.9885,0.0004357,0.0004357,0.0004357
59,464.212,0.66556,0.35677,0.9333,0.9857,0.98558,0.98783,0.81241,0.76193,0.32296,0.94456,0.0004258,0.0004258,0.0004258
